promptID,premise,splits
1858,That story remains to be told.,dev
89538,Upon rebooting you'll find that the Internet Explorer icon is gone from your desktop and Windows works fine.,train
36268,"In the 1990s, northern fiscal conservatives such as Anderson, Tsongas, and Rudman have backed free-trade agreements such as NAFTA.",train
21496,How did Adaptec or Skadden get on the list?,train
72040,Where would he be today without American commercial know-how?,dev
31657,"Map maker, map maker, make me a map.",train
41490,Murder episodes are almost always one hour in length.,train
9527,"Pollard may have spied for a friendly country, but he did a traitor's work.",train
139134,"At one point he imagines this middle-class  By dismissing our fears about declining morality out of hand, you fail to recognize that middle-class morality is not necessarily opposed to the values of inclusion and equality that you currently profess.",train
131624,"So it has gone, with conspiracism playing a role in crisis after crisis.",dev
100592,"And Alan Tonelson, of the U.S.",dev
25172,"Finally, a sister is getting to go to the ball, says Newsweek 's Veronica Chambers.",train
79020,What a fascinating and generous letter.,train
145556,It forces us to justify doing otherwise.,train
62200,"He also identifies a number of highly technical problems with the experiment that, he says, render it meaningless.",train
29933,"If that's censorship, so be it (Bill Reel, Newsday ). (Click here to read Jon Robin Baitz's take on the controversy in Slate 's Diary.",train
28680,"We admire perfectionist monomania in Internet tycoons, so why not in Martha?",train
36034,The Justice Department asked Starr to look into allegations that his prosecutors improperly tried to cut an immunity deal with Lewinsky during their January 1998 sting without her lawyer present.,train
89113,"We will all sleep better at night knowing that our commander in chief's libido is compartmentalized, and that he's not bombing Sudanese pharmaceutical plants just to get his Iraqs off.",train
65303,"OK, fine--simply provide me with quarterly reports on the yield of the fund and the value of my share in it.",train
107445,"It's easy to imagine an election where Clinton is initially ahead of Dole, but a third party entry by, say, Jesse Jackson, pushes Dole ahead of Clinton.",train
17307,Today's Papers is sorry that the Journal wasn't curious enough to find out the average age of those CEOs.,train
125242,What is worrisome is the failure of pollsters themselves to learn from the history of their profession.,train
114391,Administration officials confirmed that Clinton was deliberately 1) rolling out the carpet to enhance Arafat's prestige and 2) sending Israel a warning not to screw up the peace process by provoking further conflict.,train
92452,Republicans have long demanded smaller government.,train
136250,The tide has turned so much that one might wonder whether Wilson needs to make such a fuss about the unity of knowledge.,train
139668,"Time describes honor killings in Jordan, which comprise a quarter of the Arab nation's homicides.",train
95811,"(She'll need the dough to cover her legal expenses--see The Nation , below.)",train
112769,"Yale law professor and quirky constitutional historian Bruce Ackerman, testifying before the House of Representatives in December, argued that a newly elected Congress has little authority to try an official who was impeached by the previous one.",train
51982,"Indeed, a great, unfinished work can be more fascinating than a finished one because of the way the reader is drawn into the artistic process.",train
63259,"except for the final phrase, which is merely implicit.",dev
36965,"Idon't generally complain about oppressive patriarchal social structures, but Ferberism is a good example of one.",train
78811,"As the plucky challenger, Bradley can campaign both to the left and right of Gore, picking up support from anti-Gore, pro-labor activists on one day and boosting his pro-business, pro-free-trade agenda to Wall Streeters a few days later.",train
139543,Let's take video games as an example.,train
22176,"The bar on male behavior has been substantially lowered, and this is feminists' own fault.",train
130416,"I teach at a school with many poor whites and Latinos, many of whom can't afford home computers or did not learn how to use them in high school.",train
103267,"Finally, on July 30, the committee passed a third, slightly weaker, article 21-17, which charged the president with having willfully disobeyed subpoenas.",train
13366,"Carlson says he has had calls from the conservative Politburo, including one from Michael Ledeen, a former Reagan National Security aide, who told him, No one who believes what we believe should be attacking Grover.",train
104415,This all happened in real life--although the Rockettes weren't the real Rockettes and neither was the choir.,train
22681,Willey might have a better case against Clinton if she wants to make it--and if her story is true.,train
83895,Personal pronouns anchor the headlines as they drive home an idea James and Dewey would have welcomed--the USA as one big first-person-plural community.,train
18584,And in the Where are they now?,train
3904,The U.S. has never backed down.,train
