"promptID","premise","splits"
80754,"Time publishes its second annual roster of America's 25 most influential people.","dev"
4914,"Like my real name couldn't be Pierre LeCluck.","train"
25101,"A meeting with the district's member of Congress has been scheduled, but I have no doubt how this will end.","train"
52430,"But if God has taken flight, in Gattaca and elsewhere, at least a few of his imitators are trying to save their souls.","train"
81315,"In recent years, children's entertainment has contained an increasing number of apparently intentional or even obviously intentional gay references.","train"
94134,"Pennebaker made about Dylan's previous European tour in 1965, Eat the Document , which was edited by Dylan himself, is a pointless coda.","train"
51576,"The primary purpose of this conversation is not to convey any specific information.","train"
93500,"Would that suddenly make you less of a person, less of an individual?","train"
87296,"Tina and the Weinsteins all have highbrow pretensions but feel no shame in embracing pop culture.","train"
27320,"To the contrary, Jacob, he declared.","train"
95891,"I don't understand how one would read this argument and not get that it is about the effect these changes will have on the commons.","train"
71901,"Is this reasonable caution or self-important delight in martial law?","train"
141016,"Give Microsoft a monopoly on browsers, and you'll intensify the downward pressure on the price of its operating systems.","train"
106524,"Needless to say, these plans had not been in the prospectus.","train"
37019,"In the New York Times Book Review , Nicholas Lemann praises the  Ms.","train"
122682,"We have heard, seen this pattern before.","dev"
20419,"The language is lackluster, the pacing leaden, the cliches plentiful, and the surprises few--no, not the campaign speeches for the Iowa caucuses (Well, yes, but I'm thinking of something else here.)","train"
101941,"You just have to be interesting.","train"
51831,"There is no good way to measure the gap between women's earnings and their productivity, but it is reasonable to say that their earnings have risen pretty much in line with their productivity.","train"
145948,"If the Senate refuses to hold a confirmation hearing, he will continue in that acting job till the end of Clinton's presidency.","train"
15074,"The center had become a hodgepodge of unconnected programs--a day-care center, a library, a nonviolence training school.","dev"
91438,"What happens then is an enchanting blend of old and new, as Finn is summoned to the manse of Nora Dinsmoor (Anne Bancroft), a filthy-rich ex-socialite driven mad by her abandonment, decades earlier, by a wayward fiance.","dev"
103767,"Apparently there are enough 18-year-old book buyers in the first flush of marijuana to keep Hunter in tequila and narcotics for the rest of his life.","train"
142429,"But if there isn't a connection, that's too bad.","dev"
52313,"Vice President Gore is on the hot seat in the campaign-finance investigation . The Washington Post reported that some of the money Gore raised in phone calls from the White House went to the Clinton-Gore campaign (hard money) instead of the Democratic National Committee (soft money).","train"
66248,"The baby's father responded by filing a wrongful death suit.","dev"
140007,"I can't in good conscience argue that you shouldn't field a team.","train"
66244,"Massachusetts' highest court decided that British au pair Louise Woodward will not go back to jail.","train"
101106,"I've always said that victory is the best exit strategy.","train"
85144,"Editorialists agree that Milosevic is a treacherous butcher, but nobody knows how to stop him without a major bombing campaign, for which Europe and the United States lack the stomach.","train"
5978,"Monetary union and relaxed fiscal policy are sparking the boom.","train"
67176,"The cover article urges the GOP and the Christian right to compromise.","train"
127027,"Indeed, there are dozens of clinical experiments showing that high doses of calcium either arrest bone loss or even build bone in older women.","train"
8983,"Of course, the extreme in men's dress is the dinner jacket.","train"
45209,"One  Because they're cyber sages.","train"
130310,"Both were run by editors (Paul Williams, Jann Wenner) who saw rock stars as modern poets and voices of their generation.","dev"
20481,"Exaggerated and crude claims of liberal bias have become an excuse for poor journalistic standards, and for shoddy intellectual ones as well.","dev"
62335,"Gay liberation, like feminism, is central to the whole individualist ethos of the last two decades.","train"
105464,"You'll be able to cruise from article to review to column to department with a growing feeling that you're absolutely right about everything.","train"
123487,"The rounded slinky movements of the dancelike kata looked specifically designed to develop grace, coordination, and balance.","train"
21045,"They love the Backstreet Boys, Dawson's Creek , and wrestler Steve Austin, and their superficial sophistication hides insecurity.","train"
27510,"Statements from Gore, McCain, Bradley, and Bush indicate they favor holding off on any general privacy legislation to allow industry to self-regulate by posting privacy policies and developing guidelines to ensure that consumers understand how their personally identifying information will be used.","train"
59847,"To aid the larger lexicographical enterprise, I'm interested in collecting samples of references to yadda yadda yadda (or similarly imitative terms) in any communications media other than paper.","train"
112508,"Democrats have done themselves a lot of harm by refusing to discriminate between those programs that are vital and those that are not.","train"
3869,"To paraphrase Pink Floyd (or was it Catullus?)","train"
72409,"Salinger wrote similar letters to other young female writers.","train"
144237,"Questioned about China at his press conference, President Clinton admitted for the first time that his constructive-engagement policy hasn't improved China's behavior, but he maintained that it will in the future.","train"
40217,"What one does not expect in a book of this kind--a book that is technical even as it is beautiful--is that the author will be not just fastidious but also an evocative and wonderfully quirky writer.","train"
11415,"Well, did she or didn't she?","train"
49079,"But those same principles also suggest that if you choose to do so, you won't avoid the noisy battle of wills with your child--you'll merely postpone it.","train"
18176,"Time says that space tourism has a new  former astronaut Buzz Aldrin.","train"
62226,"No matter how fast we all run, someone must be behind.","train"
90395,"Mir's crew was docked pay for its incompetence.","train"
66545,"His off-the-cuff style seems amateurish next to Inglis' polished mini-essays.","dev"
137701,"However it all shakes out, those who benefit most from the tax breaks almost surely will lose least from the spending cuts.","dev"
51278,"Unlike most strips, his was about adults, albeit adults depicted as children.","train"
129653,"Please tell  Do you see an end to human suffering?","train"
16818,"Invented in 1993: After a big interception, Packers safety Leroy Butler . The populist Leap is particularly suited to the NFL's only publicly owned team, the zealously beloved Pack.","train"
132598,"But he was abrupt with her--not rude, just abrupt.","train"
136144,"The heir to what was once the world's largest private oil fortune received his British passport in the week before Christmas and immediately revoked his US nationality, the newspaper said.","train"
53316,"The substantive issue at stake is hard news vs. soft  Each network is accusing the others of going soft in pursuit of ratings.","train"
2074,"But they admit that at least some consumers are being misled by the logo.","train"
79957,"Dole gave 12 hours of formal interviews and lots more time informally, in part because, as his press secretary Nelson Warfield told me last week, he likes Woodward personally.","train"
12394,"And the last thing Bradley can afford is to look like a strategist.","train"
7817,"The basic tool of statistical social science in general, and of The Bell Curve in particular, is regression analysis, a technique used to assign weights to various factors (called independent variables) in determining a final outcome (called the dependent variable).","train"
117310,"But most observers--certainly the Barlows of the world--expect radical improvement.","train"
91067,"Which is odd, considering that five years ago Bennett was fretting that there were too few.","train"
145864,"Providing escape routes from the inner city may make the ghettos worse by depriving them of their most competent residents.","train"
138482,"[F]rom the moment Cecilia Bartoli's vibrant Idamante arrives on stage, the performance takes wing, her luscious, tight vibrato perfectly capturing the adolescent trauma of the young prince, says the Independent 's Mark Pappenheim.","train"
37251,"No inside-the-beltway PR victory is worth that kind of demoralization.","train"
96012,"Finally, we can try to remove temptation, by avoiding policy initiatives that make it easy for politicians to play favorites.","train"
96270,"How does the high-minded dismissal work?","train"
50344,"Aprimary argument against same-sex marriage is that marriage is an institution for the raising of children.","train"
60636,"And that's when Italian-Americans will really have something to bitch about (by the way, where do you stand on the The Sopranos isn't good for Italians question?)","train"
35543,"But still Wendy Wasserstein eludes us.","train"
12413,"These AUs, usually identified by the facial muscles that perform these various tasks, are the tools used in What the Face Reveals . (To look at a few examples, click here and here.)","train"
95556,"In Take This Simple Test, Steven E. Landsburg goes into quite some mathematical detail about the public's so-called irrationality.","train"
108797,"From my occasional role in affairs reported in the media I have drawn the general conclusion that very little reporting is 100 percent accurate.","train"
111179,"The Standard , published a few days before Deng's death, covers similar territory.","dev"
52922,"If there is a good reason, it has to do with our final question.","train"
145863,"What's needed, alongside an evacuation plan, is a realistic program to stabilize conditions for those left behind.","dev"
9966,"Not surprisingly, Scalia is no big fan of stare decisis : In his dissents, he often calls upon the court to scour away layers of encrusted precedent in order to get at the original meaning of the underlying text.","train"
7011,"First, we don't know that Maxwell would have found another  Without Joan, he might have struck out that night.","train"
126566,"No ballots will be accepted after May 6, 1998.","train"
139899,"Another part of the answer--one that Kindleberger suggested two decades ago--is that to introduce global financial markets into a world of merely national monetary authorities is, in a very real sense, to walk a tightrope without a net.","train"
112759,"Also, the routine random inspections used by U.S. government agencies such as the Occupational Safety and Health Administration and the Environmental Protection Agency are almost exactly like those planned under the CWC, and these have been found constitutional.","train"
133623,"I am fortunate enough to have two mothers-in- one who gave birth to my wonderful husband and one who is married to his father.","train"
66417,"The other example is Chaconne , starring Suzanne Farrell and Peter Martins.","train"
99091,"The pierced generation may simply be acknowledging the deadliness of the times we live in, suggestive as they are of earlier epochs in human history.","train"
55662,"(He also turns into a hyena and an armadillo, species that are similarly not native to Transylvania.)","train"
139008,"Also, check out this illustrated, in-depth exploration of Beck's fashion choices.)","train"
53981,"And, basset people, like me, want dogs that have the good sense not to do any of those things.","train"
20147,"Second, economic theory predicts that some incentives matter more than others, and the data confirm the  Executions prevent murders, but convictions prevent even more murders.","train"
82768,"Because the barbarians are coming today   and the emperor's waiting to receive their leader.","train"
47019,"Ehrlich's theories lost steam after he lost a famous 1980 bet with economist Julian Simon, who wagered that any basket of resources Ehrlich might name would be cheaper at any date in the future.","train"
143692,"For a turnaround to be real, the company has to become not merely profitable but also positioned for steady growth.","train"
33407,"If anyone has a good idea about how to bring back the opinion leaders of yore, I am all for it.","dev"
31446,"It seems to me an unnecessary expense to spend many millions of dollars to reduce a few people's travel time by five minutes.","train"
26747,"Because the $50,000 prize to be announced July 29 is for the artist's whole oeuvre and not the work submitted for the show, I would award it, if forced to choose, to South African William Kentridge, who is known for powerful , many with anti-apartheid themes.","train"
29089,"Maybe we shouldn't save every premature baby regardless of the cost.","train"
