"promptID","premise","splits"
"55461","In fact, although all other nominees are welcome, Slate 's software-development team--through a simple iterative program--has already cast 1.8 million votes for Bill Gates.","train"
"97623","They see politics as exclusively combative contests, involving haggling, maneuvering, bargaining and manipulating.","train"
"7966","The only really arresting work he did after 1950 is . With its electric brightness, this huge painting, which Pollock's friends started for him, is stunning but sad, a big smile for the camera and perhaps a kind of requiem for his earlier work.","train"
"56940","But after the election, says Blankley, there is a 99.","train"
"42907","But when the industry attempted to create , the same activists protested again, declaring the safer cigarette evil because it would encourage smokers to continue their habit.","train"
"90705","Even if they use the meat.","train"
"26744","Unfortunately, following the vogue of conceptualism, Kentridge has entered a film in the show, , which uses animation of sketches much cruder than the ones he usually does interspersed with documentary footage from the apartheid era.","dev"
"56043","The cover story says that megabillionaire and stock-picking legend Warren Buffett has quietly shifted his focus from buying individual stocks to purchasing companies.","train"
"72712","It draws sidelong glances and playground taunts, and it may give the adopted child an identity crisis.","train"
"127473","The biography exposes the pioneer sexologist as a gay masochist who organized and filmed orgies.","train"
"39306","You love it up here, don't you?","train"
"71875","How do Mary Matalin and James Carville do it?","train"
"58499","By my calculations, it probably went about 479 feet.","train"
"122857","Anglicans are particularly aggrieved by the no-Protestants policy.","train"
"114074","You wake up one bright autumn morning and you're halfway to the subway when you decide to walk to work instead.","dev"
"80661","What this means is that the revenue from any new taxes on pollution could be used to reduce other taxes, such as Social Security contributions or the income tax (but not, of course, the capital-gains tax).","train"
"11401","(Prudie agrees that speaking directly to the parties would probably not be useful.)","dev"
"131087","Critics also suggested that, with their salaries and stock wrapped up in the same company, employees were putting too many eggs in one basket.","train"
"144549","When we encounter the young woman again, she has taken a job as the live-in domestic at a huge and crumbling Roman townhouse belonging to an English loner named Jason Kinsky (David Thewlis).","dev"
"117981","Pretty serious perjury time [looks at his watch].","train"
"67990","I've seen you around before, haven't I? What's your name again?","train"
"57840","The fate of love letters written by Diana to her former lover, James Hewitt, and stolen from him by his Italian mistress, who recently tried to sell them to the London Daily Mirror, which instead handed them over to her executors, has preoccupied all the London newspapers for several days.","train"
"144425","The personal destruction spin is a big winner.","train"
"119787","Such coverage is good  Your Live at Five NewsTeam covers Election '96!","train"
"17262","Barney Frank, D-Mass., will log some of the best sound bites, while Rep.","dev"
"6224","Based on this assessment, NATO has kept ground forces out of Kosovo, allowing atrocities to continue, and has kept its planes high above Serbian anti-aircraft batteries, limiting our pilots' ability to distinguish refugees from Serb forces on the ground.","train"
"97847","We're told of Estella's inner struggle--of the tug of war between the punishing cock-tease that her aunt has engineered her to be and her inherent decency--but the conflict isn't palpable in Paltrow's paltry performance.","train"
"39006","As he went from floor to floor removing the signs, did he realize what was going to happen after he'd taken down the final one?","train"
"119775","Don't take my word for it.","train"
"41512","That is George Richey, widower of country singer Tammy Wynette.","train"
"82038","Downstairs neighbor Aaron Whiteheard said, One night, I heard what sounded like a kid ...","train"
