promptID,premise,splits
26560,"The Globe runs what it says is Martin's open letter to Shepherd, in which he pleads with her to open [her] heart and do what's right by repaying him the $4,000 she reportedly owes him.",train
133003,"At worst, he is amassing credentials, fame, and wealth on the basis of others' uncredited labor--once considered a scholarly sin.",train
75687,The first of five special issues about the 21 st century imagines health and environment in the future.,train
130056,"Regular Sunday reviewers, on the model of Cyril Connolly, the longtime critic for the Sunday Times , become trusted guides.",train
97675,4 billion is spent on medication and doctor visits . There is plenty of room for growth--only an estimated 12 percent of hay fever sufferers seek medical treatment.,train
42200,I put $75 on the New England Patriots as a 2.5-point underdog and $50 on a Boston Red Sox playoff game against the Cleveland Indians.,train
49162,"Some houses--big and small--have trimmed their lists, consulting closely with the chains to determine what is commercial, and have seen their profits and sales rise.",train
136253,"I can confirm he does, for I have tried to convey the same Ionian Enchantment in my recent book How the Mind Works.",train
99901,A Time sidebar blames the uncritical media for promoting the drugs in the war against fat.,train
130533,"When you buy something online or fill out a warranty card, there's often a little box at the  Check here if you wish to receive announcements about our new products and services that may delight and amuse you.",train
139089,"Instead, I felt sluggish the entire next day.",train
