promptID,premise,splits,heuristic_value,heuristic_friendlyname,heuristic_example_text,heuristic_payment_text,heuristic_checkbox_text,entailment_payment,neutral_payment,contradiction_payment,FAQ_direct_link
87296,Tina and the Weinsteins all have highbrow pretensions but feel no shame in embracing pop culture.,train,hypernym,use a more specific term for a word in the text,"For example, if the text contains the word ""dog"" a more specific word could be ""puppy"" or ""poodle."" Here are some additional examples: ""truck"" is more specific than ""vehicle,"" ""a pie"" is more specific than ""a baked good,"" and ""icy"" is more specific than ""cold.""","Adding this restriction to the maybe correct or definitely incorrect statements will add a bonus of $0.05. Because it's often more challenging to add this restriction to a definitely correct statement, doing so is worth a bonus of $0.10.",uses a more specific term for a word in the text,$0.10 ,$0.05 ,$0.05 ,https://docs.google.com/document/d/1DBdLV_H0pYWweSsO3cpV515q1k9c-uzvQTpqKu2-xN0/edit#bookmark=id.yq3hzhusmvli
27320,"To the contrary, Jacob, he declared.",train,hypernym,use a more specific term for a word in the text,"For example, if the text contains the word ""dog"" a more specific word could be ""puppy"" or ""poodle."" Here are some additional examples: ""truck"" is more specific than ""vehicle,"" ""a pie"" is more specific than ""a baked good,"" and ""icy"" is more specific than ""cold.""","Adding this restriction to the maybe correct or definitely incorrect statements will add a bonus of $0.05. Because it's often more challenging to add this restriction to a definitely correct statement, doing so is worth a bonus of $0.10.",uses a more specific term for a word in the text,$0.10 ,$0.05 ,$0.05 ,https://docs.google.com/document/d/1DBdLV_H0pYWweSsO3cpV515q1k9c-uzvQTpqKu2-xN0/edit#bookmark=id.yq3hzhusmvli
18899,Markets get caught in self-perpetuating cycles of undue optimism and hysterical panic.,train,hypernym,use a more specific term for a word in the text,"For example, if the text contains the word ""dog"" a more specific word could be ""puppy"" or ""poodle."" Here are some additional examples: ""truck"" is more specific than ""vehicle,"" ""a pie"" is more specific than ""a baked good,"" and ""icy"" is more specific than ""cold.""","Adding this restriction to the maybe correct or definitely incorrect statements will add a bonus of $0.05. Because it's often more challenging to add this restriction to a definitely correct statement, doing so is worth a bonus of $0.10.",uses a more specific term for a word in the text,$0.10 ,$0.05 ,$0.05 ,https://docs.google.com/document/d/1DBdLV_H0pYWweSsO3cpV515q1k9c-uzvQTpqKu2-xN0/edit#bookmark=id.yq3hzhusmvli
46485,The leading example of such an auction is the stock market.,train,hypernym,use a more specific term for a word in the text,"For example, if the text contains the word ""dog"" a more specific word could be ""puppy"" or ""poodle."" Here are some additional examples: ""truck"" is more specific than ""vehicle,"" ""a pie"" is more specific than ""a baked good,"" and ""icy"" is more specific than ""cold.""","Adding this restriction to the maybe correct or definitely incorrect statements will add a bonus of $0.05. Because it's often more challenging to add this restriction to a definitely correct statement, doing so is worth a bonus of $0.10.",uses a more specific term for a word in the text,$0.10 ,$0.05 ,$0.05 ,https://docs.google.com/document/d/1DBdLV_H0pYWweSsO3cpV515q1k9c-uzvQTpqKu2-xN0/edit#bookmark=id.yq3hzhusmvli
95891,I don't understand how one would read this argument and not get that it is about the effect these changes will have on the commons.,train,hypernym,use a more specific term for a word in the text,"For example, if the text contains the word ""dog"" a more specific word could be ""puppy"" or ""poodle."" Here are some additional examples: ""truck"" is more specific than ""vehicle,"" ""a pie"" is more specific than ""a baked good,"" and ""icy"" is more specific than ""cold.""","Adding this restriction to the maybe correct or definitely incorrect statements will add a bonus of $0.05. Because it's often more challenging to add this restriction to a definitely correct statement, doing so is worth a bonus of $0.10.",uses a more specific term for a word in the text,$0.10 ,$0.05 ,$0.05 ,https://docs.google.com/document/d/1DBdLV_H0pYWweSsO3cpV515q1k9c-uzvQTpqKu2-xN0/edit#bookmark=id.yq3hzhusmvli
71901,Is this reasonable caution or self-important delight in martial law?,train,hypernym,use a more specific term for a word in the text,"For example, if the text contains the word ""dog"" a more specific word could be ""puppy"" or ""poodle."" Here are some additional examples: ""truck"" is more specific than ""vehicle,"" ""a pie"" is more specific than ""a baked good,"" and ""icy"" is more specific than ""cold.""","Adding this restriction to the maybe correct or definitely incorrect statements will add a bonus of $0.05. Because it's often more challenging to add this restriction to a definitely correct statement, doing so is worth a bonus of $0.10.",uses a more specific term for a word in the text,$0.10 ,$0.05 ,$0.05 ,https://docs.google.com/document/d/1DBdLV_H0pYWweSsO3cpV515q1k9c-uzvQTpqKu2-xN0/edit#bookmark=id.yq3hzhusmvli
44017,Editorialists lamented that Carey's campaign against union corruption now bears the taint of union corruption.,train,hypernym,use a more specific term for a word in the text,"For example, if the text contains the word ""dog"" a more specific word could be ""puppy"" or ""poodle."" Here are some additional examples: ""truck"" is more specific than ""vehicle,"" ""a pie"" is more specific than ""a baked good,"" and ""icy"" is more specific than ""cold.""","Adding this restriction to the maybe correct or definitely incorrect statements will add a bonus of $0.05. Because it's often more challenging to add this restriction to a definitely correct statement, doing so is worth a bonus of $0.10.",uses a more specific term for a word in the text,$0.10 ,$0.05 ,$0.05 ,https://docs.google.com/document/d/1DBdLV_H0pYWweSsO3cpV515q1k9c-uzvQTpqKu2-xN0/edit#bookmark=id.yq3hzhusmvli
141016,"Give Microsoft a monopoly on browsers, and you'll intensify the downward pressure on the price of its operating systems.",train,hypernym,use a more specific term for a word in the text,"For example, if the text contains the word ""dog"" a more specific word could be ""puppy"" or ""poodle."" Here are some additional examples: ""truck"" is more specific than ""vehicle,"" ""a pie"" is more specific than ""a baked good,"" and ""icy"" is more specific than ""cold.""","Adding this restriction to the maybe correct or definitely incorrect statements will add a bonus of $0.05. Because it's often more challenging to add this restriction to a definitely correct statement, doing so is worth a bonus of $0.10.",uses a more specific term for a word in the text,$0.10 ,$0.05 ,$0.05 ,https://docs.google.com/document/d/1DBdLV_H0pYWweSsO3cpV515q1k9c-uzvQTpqKu2-xN0/edit#bookmark=id.yq3hzhusmvli
68739,"Former Republican National Committee Chairman Haley Barbour, too, is working on behalf of the companies involved in the settlement, and he deserves as much scorn as his Democratic counterparts.",train,hypernym,use a more specific term for a word in the text,"For example, if the text contains the word ""dog"" a more specific word could be ""puppy"" or ""poodle."" Here are some additional examples: ""truck"" is more specific than ""vehicle,"" ""a pie"" is more specific than ""a baked good,"" and ""icy"" is more specific than ""cold.""","Adding this restriction to the maybe correct or definitely incorrect statements will add a bonus of $0.05. Because it's often more challenging to add this restriction to a definitely correct statement, doing so is worth a bonus of $0.10.",uses a more specific term for a word in the text,$0.10 ,$0.05 ,$0.05 ,https://docs.google.com/document/d/1DBdLV_H0pYWweSsO3cpV515q1k9c-uzvQTpqKu2-xN0/edit#bookmark=id.yq3hzhusmvli
106524,"Needless to say, these plans had not been in the prospectus.",train,hypernym,use a more specific term for a word in the text,"For example, if the text contains the word ""dog"" a more specific word could be ""puppy"" or ""poodle."" Here are some additional examples: ""truck"" is more specific than ""vehicle,"" ""a pie"" is more specific than ""a baked good,"" and ""icy"" is more specific than ""cold.""","Adding this restriction to the maybe correct or definitely incorrect statements will add a bonus of $0.05. Because it's often more challenging to add this restriction to a definitely correct statement, doing so is worth a bonus of $0.10.",uses a more specific term for a word in the text,$0.10 ,$0.05 ,$0.05 ,https://docs.google.com/document/d/1DBdLV_H0pYWweSsO3cpV515q1k9c-uzvQTpqKu2-xN0/edit#bookmark=id.yq3hzhusmvli
