"promptID","premise","splits"
"113501","It is seen as a rebuke to Senate Majority Leader Trent Lott and a victory for Democrats, Sen.","train"
"4777","They're both excited about it ...","dev"
"114521","With a perfectly straight face they report, for example, that lesbians are at least 300 times more likely to die in car crashes than females of similar ages in general.","train"
"97234","Although I speak with an English accent, my pronunciation can be modified to American English.","train"
"80754","Time publishes its second annual roster of America's 25 most influential people.","dev"
"69501","Mehta's multivolume autobiography, titled Continents of Exile , has loss as its overarching  loss of sight, of childhood, of home and country, and now--with this volume--loss of Mr. Shawn's New Yorker . The memoir takes us from the time the author was hired as a staff writer in the early '60s up to 1994, when he was terminated by the loathed Tina Brown in her vandalization of his cherished magazine.","train"
"28679","Politicians get away with advertising bogus family bliss","train"
"129860","I spent 10 years in commercial aviation with two U.S. flag carriers and offer the following comments based on that experience.","train"
"4914","Like my real name couldn't be Pierre LeCluck.","train"
"126837","There are other reasons that wrecks cause fan excitement--e.g.","dev"
"25101","A meeting with the district's member of Congress has been scheduled, but I have no doubt how this will end.","train"
"85900","This December, it will happen  Tens of thousands of children will hound their parents into buying charming Dalmatian pups for Christmas.","train"
"52430","But if God has taken flight, in Gattaca and elsewhere, at least a few of his imitators are trying to save their souls.","train"
"81315","In recent years, children's entertainment has contained an increasing number of apparently intentional or even obviously intentional gay references.","train"
"94134","Pennebaker made about Dylan's previous European tour in 1965, Eat the Document , which was edited by Dylan himself, is a pointless coda.","train"
"71602","According to the Washington Post , Steve Forbes and George W. Bush are criticizing Al Gore for naively accepting Russian pledges of economic reform.","train"
"51576","The primary purpose of this conversation is not to convey any specific information.","train"
"93500","Would that suddenly make you less of a person, less of an individual?","train"
"43952","This column, as my first in the Strange Bed, is free of history.","train"
"59376","When pollsters talk about a representative sample they mean a sampling that accurately reflects the population at large.","train"
"87296","Tina and the Weinsteins all have highbrow pretensions but feel no shame in embracing pop culture.","train"
"27320","To the contrary, Jacob, he declared.","train"
"18899","Markets get caught in self-perpetuating cycles of undue optimism and hysterical panic.","train"
"46485","The leading example of such an auction is the stock market.","train"
"95891","I don't understand how one would read this argument and not get that it is about the effect these changes will have on the commons.","train"
"71901","Is this reasonable caution or self-important delight in martial law?","train"
"44017","Editorialists lamented that Carey's campaign against union corruption now bears the taint of union corruption.","train"
"141016","Give Microsoft a monopoly on browsers, and you'll intensify the downward pressure on the price of its operating systems.","train"
"68739","Former Republican National Committee Chairman Haley Barbour, too, is working on behalf of the companies involved in the settlement, and he deserves as much scorn as his Democratic counterparts.","train"
"106524","Needless to say, these plans had not been in the prospectus.","train"
"37019","In the New York Times Book Review , Nicholas Lemann praises the  Ms.","train"
"122682","We have heard, seen this pattern before.","dev"
"146121","Last year, Clinton signed legislation prohibiting federal recognition of gay marriages, then bragged about it in campaign ads.","train"
"20419","The language is lackluster, the pacing leaden, the cliches plentiful, and the surprises few--no, not the campaign speeches for the Iowa caucuses (Well, yes, but I'm thinking of something else here.)","train"
"65487","A third of people who almost die report experiencing a spiritual vision.","train"
"101941","You just have to be interesting.","train"
"95626","The National Basketball Association fined Chicago Bulls forward Dennis Rodman $50,000 for insulting Mormons.","train"
"51831","There is no good way to measure the gap between women's earnings and their productivity, but it is reasonable to say that their earnings have risen pretty much in line with their productivity.","train"
"20421","You can catch the final nine hours this evening.","train"
"57587","He thought they bloomed for just the right length of time, smartly disappearing before you can tire of them.","train"
"145948","If the Senate refuses to hold a confirmation hearing, he will continue in that acting job till the end of Clinton's presidency.","train"
"118030","Wilson uses a stage backdrop of nothing but stark blue and projects bands of white light across it, while his performers stand almost motionless.","train"
"15074","The center had become a hodgepodge of unconnected programs--a day-care center, a library, a nonviolence training school.","dev"
"1331","(I would bet that every survey of teens taken since Cain and Abel found that they named parents as their favorite role models.)","train"
"54394","These decisions are made by middle management, who are free to indulge their prejudices, regardless of a calculation of what's best for the corporate bottom line.","train"
"91438","What happens then is an enchanting blend of old and new, as Finn is summoned to the manse of Nora Dinsmoor (Anne Bancroft), a filthy-rich ex-socialite driven mad by her abandonment, decades earlier, by a wayward fiance.","dev"
"50693","But the supply-siders are quite right when they say that economies are not a zero-sum game.","train"
"144552","N otting Hill opens with an superfluous voice-over that sets the scene and makes certain that the audience is oriented.","train"
"103767","Apparently there are enough 18-year-old book buyers in the first flush of marijuana to keep Hunter in tequila and narcotics for the rest of his life.","train"
"142429","But if there isn't a connection, that's too bad.","dev"
"2751","The sunny  We nailed the terrorists.","train"
"52313","Vice President Gore is on the hot seat in the campaign-finance investigation . The Washington Post reported that some of the money Gore raised in phone calls from the White House went to the Clinton-Gore campaign (hard money) instead of the Democratic National Committee (soft money).","train"
"66248","The baby's father responded by filing a wrongful death suit.","dev"
"140007","I can't in good conscience argue that you shouldn't field a team.","train"
"105191","The Washington Post called it the culmination of a six-month game of political chicken.","dev"
"66244","Massachusetts' highest court decided that British au pair Louise Woodward will not go back to jail.","train"
"101106","I've always said that victory is the best exit strategy.","train"
"85144","Editorialists agree that Milosevic is a treacherous butcher, but nobody knows how to stop him without a major bombing campaign, for which Europe and the United States lack the stomach.","train"
"5978","Monetary union and relaxed fiscal policy are sparking the boom.","train"
"67176","The cover article urges the GOP and the Christian right to compromise.","train"
"91242","Why hasn't natural selection corrected the immune system's misguided response?","train"
"66754","Any point you failed to win by rigging the questions and categories can be cleaned up in the executive summary (the pollster's spin) and the press release and news conference (the client's spin on the pollster's spin).","dev"
"40787","But anti-Semitism permeated Nazi ideology, and Finkelstein is deaf to its nuances.","train"
"63416","Songs like their biggest hit, , are sense-less but skillful pastiches of classic Beatles moments.","train"
"127027","Indeed, there are dozens of clinical experiments showing that high doses of calcium either arrest bone loss or even build bone in older women.","train"
"46756","Meanwhile, John McLaughlin stares directly at Fred Beetle Barnes, pauses, and calls him Pat Buchanan.","train"
"117206","It is always futile to try to draw practical lessons from history.","dev"
"8983","Of course, the extreme in men's dress is the dinner jacket.","train"
"61819","Each edition of the DSM is the product of arguments, negotiations, and compromises.","dev"
"107817","The Wall Street Journal Business Bulletin has a fact that dramatizes how profoundly well-off this country is--Americans throw out approximately 12 percent of the stuff they buy at the supermarket.","dev"
"45209","One  Because they're cyber sages.","train"
"58295","It's a little hard to believe that the Jasons of the world end up straightening out, as Lewis titles the section about the worst-off cases, just as it's hard to buy the extreme view that parents are hopeless screw-ups.","train"
"136383","Another time I had to go and look after my brother Kenny in Buffalo.","train"
"56217","This has rekindled the concern and outrage sparked a few weeks ago by the similar death of a pledge at Louisiana State University.","train"
"2997","Starr told me that, and Bennett confirmed it but would not tell me specifics.","train"
"89779","Dr. Arthur Caplan, the only ethicist at the hearing who betrayed any awareness of the new issues, focused instead on the morality of trade-offs.","train"
"11771","I noticed this as I was moving the furniture on the second floor back into the bedrooms.","train"
"130310","Both were run by editors (Paul Williams, Jann Wenner) who saw rock stars as modern poets and voices of their generation.","dev"
"105771","During last month's State of the Union address, every member of Congress, Republican and Democratic, rose repeatedly to give Clinton standing ovations.","train"
"90755","And now pharmaceutical giant Warner-Lambert has jumped in with Hall's Zinc Defense, a lozenge backed by a national TV-ad campaign.","train"
"20481","Exaggerated and crude claims of liberal bias have become an excuse for poor journalistic standards, and for shoddy intellectual ones as well.","dev"
"34454","It probably won't come naturally to an American male, but, in an attempt to enter into the spirit of French daily life, I will cultivate a Look of my own.","train"
"62335","Gay liberation, like feminism, is central to the whole individualist ethos of the last two decades.","train"
"9876","What to do about that, I don't know.","train"
"96582","The second reference to bumfuzzled was in History of the Life of Rev.","train"
"61219","Parents find themselves intervening to stop their kids from making bad deals with unscrupulous classmates.","train"
"105464","You'll be able to cruise from article to review to column to department with a growing feeling that you're absolutely right about everything.","train"
"12364","Who can blame him for lying to the gullible young?","train"
"113040","Somehow I doubt that Bill Gates thinks of Dell as parasitic because its computers run only on Windows.","train"
"123487","The rounded slinky movements of the dancelike kata looked specifically designed to develop grace, coordination, and balance.","train"
"129433","Why does it have to screw everything else up?","dev"
"38618","And then, of course, there was the New York Times , that old mainstay of psychotic delusion--Nash thought aliens were sending him encrypted messages through its pages (come to think of it, that could explain the Times ' odd prose).","train"
"145969","And critics who object that human life is sacred won't have a leg to stand on.","train"
"21045","They love the Backstreet Boys, Dawson's Creek , and wrestler Steve Austin, and their superficial sophistication hides insecurity.","train"
"27510","Statements from Gore, McCain, Bradley, and Bush indicate they favor holding off on any general privacy legislation to allow industry to self-regulate by posting privacy policies and developing guidelines to ensure that consumers understand how their personally identifying information will be used.","train"
"139935","Beatrice and Grace made out OK legally, but some of us will never use their products again without thinking about Travolta losing his shirt in the name of those wasted-away little kids.","dev"
"37310","Who says a creative-writing MFA is a sure path to permanent unemployment?","train"
"84099","I remember that some people complained President Eisenhower was distracted from the business of his office because he was out playing golf so much.","train"
"40524","Still, Wolfe's portrait captures an essential truth.","train"
"84867","The English gutter press, which was just developing a wide audience, whipped up public hatred toward him over his sex crimes and made him a pariah.","train"
"59847","To aid the larger lexicographical enterprise, I'm interested in collecting samples of references to yadda yadda yadda (or similarly imitative terms) in any communications media other than paper.","train"
"112508","Democrats have done themselves a lot of harm by refusing to discriminate between those programs that are vital and those that are not.","train"
"3869","To paraphrase Pink Floyd (or was it Catullus?)","train"
"72409","Salinger wrote similar letters to other young female writers.","train"
"144237","Questioned about China at his press conference, President Clinton admitted for the first time that his constructive-engagement policy hasn't improved China's behavior, but he maintained that it will in the future.","train"
"9123","We have close friends who have us to their home for dinner almost every week.","train"
"42600","The seductive and corrupting film noir downtowns featured in so many admired cheap second features might as well all have been demolished, along with the long-gone Bijous and Palaces where these films first played.","train"
