"promptID","premise","splits"
"108934","Blue says Blumenthal claimed Clinton had told him that Lewinsky had made unwanted sexual advances.","dev"
"12181","Smith's press secretary, Ken Wolfe, boasts that by offering that bill, We have called their bluff.","train"
"52070","(Another economist, Lawrence Mishel, takes issue with Krugman in the current issue of the American Prospect .)","train"
"7091","A sufficiently clever system of taxes and subsidies can induce people to make accurate reports of their own emotional distress.","dev"
"4382","But if the court could be televised discretely, in black and white, surely justice would not be imperiled, and might even be improved.","train"
"103940","After all, with a latitude of 19 degrees below the equator, Zimbabwe's now in the middle of summer .","train"
"20760","Let's consider President Bush's nostalgic invocation of the Soviet military.","train"
"76494","His experience in Bosnia awakened his conscience, and made his career.","train"
"52451","Note for all of you who have stuck with this endless New York Review of Books -style refutation and have yet to flee  Culturebox will be responding to MacDonald's post in the Fray--in the Fray.","train"
"141057","But they don't have a veto on this.","train"
"131952","Television journalists ceaselessly glorified Kuralt's television journalism.","train"
"21385","Unlike the people in the Gulag Archipelago , the masses in Huxley's world do not know they are not free.","train"
"44154","But sadly, I haven't had sex in five years.","train"
"126366","The Hard Way by Matthew Ritchie, which first appeared in Slate Gallery, has been added to the permanent Web site collection (yes, there is one) of the San Francisco Museum of Modern Art.","train"
"66248","The baby's father responded by filing a wrongful death suit.","dev"
"6534","South Carolina has no referendum right, so the Supreme Court canceled the vote and upheld the ban.","dev"
"34227","to be effective and make no effort to medically assess whether [castration] is appropriate for an individual.","train"
"37441","Across the world, an 18 th century war shrine in the Japanese town of Nara once contained the ears of 20,000 Koreans.","train"
"102338","When I tell people I'm an ultimate fighting fan, they invariably  Don't people get killed all the time doing that?","train"
"84695","They then essentially starved the cells so that they shut down normal metabolic function, entering a quiescent state, in which dedifferentiation apparently occurs.","train"
"145051","They will establish a cover charge or require a minimum food purchase for the use of a table.","train"
"136202","Presidential historian Stephen Ambrose begins his NewsHour appearance by inveighing against evening newscasts too smutty to watch with his 12-year-old granddaughter.","train"
"135538","Moreover, if obnoxious behavior like aggression, rape, and philandering are biological, that would make them natural and hence good--or at least in the genes, where they cannot be changed by social reform.","train"
"36037","A hint of hulk is apparently not unwelcome in the modern woman's image, and a slightly humped back, spinal curve, and forward-thrusting neck go well with that.","train"
"61974","All are packed with full-page photos of John in various stages of his public life.","train"
"131294","The New York Times ' Janet Maslin says the film works precisely because it is derivative--its stars, Matt Dillon and Gary Sinise, emulate the characters in The Usual Suspects , which gives them extraordinary opportunities to preen.","train"
"4646","Kaiser obviously lusts for the Old Times as he repeatedly calls for authoritative journalism and higher journalistic standards, and petitions Post ies to be more intellectual and creative.","train"
"109031","Hughes has accomplished this in part by the unusual technique of double ghosting.","dev"
"58990","Instead of mindlessly tossing billions at or taking billions from the Net as such, investors should be spending their time making sure that it's the future Fords and General Motors of cyberspace that are getting the capital they need.","train"
"42803","You could tell your friend that you won Dr. Famous in a raffle.","train"
"68224","It's too bad Debunker (someone suggested we call it CrapShoot) isn't up and running now, because there were a couple of nice examples in the State of the Union .","train"
"80070","Impeachment might well have followed such public disclosure.","train"
"43414","The government will pay hospitals not to train doctors . This nationalizes a $400-million New York state subsidy scheme that aims to reduce the surplus of doctors.","train"
"54918","They hail Natasha Richardson's unglamorous portrayal of Sally Bowles--an aging, seedy bisexual nightclub singer--as the performance of the season (Ben Brantley, the New York Times ). Dissenting, the Washington Post 's Lloyd Rose says Richardson can't phrase a song.","train"
"145417","But on all these, the basic principle is the same.","train"
"65165","He Moves in Mysterious  Proving himself as adept with a parable as with a football, Rep.","train"
"71553","Last month, Paul Gigot guessed that Clinton's scandal would not be resolved during June.","train"
"32038","Another guy, desperate after repeated rejection, tried to climb into the club through a vent but got stuck.","train"
