promptID,premise,splits
4174,"For such people, he said, the Pope becomes persona non grata when he tries to convince the world of human sin.",train
118903,"That doesn't necessarily mean that in a world with no racial discrimination, present or past, 12 of the top 100 candidates would be black.",train
83614,Replace George Will's column with weekly photo of him being punched in the nose.,train
123303,They think the big boys knew the risks but believed that if LTCM came to grief its creditors would be protected from loss by the government.,train
70560,"Some arrangement in my head, I suppose.",dev
16202,"It did work for Washington, D.C., Mayor Marion Barry, a self-professed sex addict who rehabilitated himself politically after a drug conviction by declaring his powerlessness over drugs and sex, repenting, and entering a program.",train
23501,"We won't be making extravagant claims for the Internet anymore, but will accept that it's just a tool--sometimes extremely useful, sometimes not.",train
118038,"The general staff, for instance, has essentially forbidden Russia from talking to NATO.",train
64407,But they won't be able to say they weren't helped with their math homework by the very best.,train
66571,"One problem, among many, is that most people's living rooms aren't Carnegie Hall; as a result, the music just sounds muddy.",train
102923,"The movie doesn't come to much, though.",dev
78111,"In our conversation, he spoke very forcefully against the special prosecutor (now independent counsel) statute.",train
60250,The key ingredient seems to be averageness.,train
63735,The new rights are nice enough,dev
70902,"In preparation for our trip, I spent months studying Italian soccer on television.",train
