"promptID","premise","splits"
"11440","And those damn video games.","train"
"136203","Ambrose--in the very next sentence!","train"
"42913","Croatia analysts surmise that HDZ is keeping Tudjman alive as a campaign strategy.","train"
"26419","The agency can't really ensure their client's behavior, but you would know that it had done its very best to choose only well-behaved children.","train"
"66710","The formula doesn't exist.","train"
"131482","He kept a personal ledger in which he recorded all the money he spent, even the $118 he paid for his wife's engagement ring, which he listed under Sundry Expenses.","train"
"7407","Paste for Greenies","train"
"28919","It's about sex.","train"
"33549","It would take only one-tenth of one second to download a Slate article via ADSL.","train"
"131300","Albino Alligator (Miramax).","dev"
"101676","Saturated fat is still evil.","train"
"50317","A Saving Private Ryan backlash begins.","train"
"139333","They were all slaves, weren't they?","train"
"51110","The boycott has been called off, but demands persist for full disclosure of records of Holocaust victims' assets, and there's little sign the Swiss will recover their pristine image any time soon.","train"
"79781","One must be a little skeptical of Sperling's personal experience with the game.","train"
"113500","This brings soft money and other much criticized practices under scrutiny.","train"
"81319","Josh Pons did not like this.","train"
"124353","For my part, I plan to endorse the Baptist boycott of Disney.","train"
"135043","Admirably reticent, compared to Robert Bennett.","train"
"13355","Jesse Ventura to obstruct Pat Buchanan's run for the Reform Party nomination.","train"
"38824","Gore has been Clinton's lackey for more than six years.","dev"
"130913","Many states are already finding that a simple shove can have surprising results.","train"
"77090","He's been mean-spirited and vicious for so long that editors and reporters are tired of hearing about it.","dev"
"12061","And they look so cool.","train"
"79852","Paul shrinks from this view.","train"
"50644","Rudy plans to consolidate his lead in the burbs by pushing school vouchers, while Hillary will tap into health-care frustrations and make the election a national contest.","train"
"69277","He is troubled over whether to accept donations from the professional kirkbuzzers'* guild.","train"
"19054","There have even been some frustrated musings among conservative writers and pundits that the people are not necessarily all-wise.","train"
"87666","Doctorow's Ragtime , is set in 1910.","train"
"144432","This couplet sends us back to an already famous passage in Omeros , in which women loading coal are compared to a line of ants--and so on.","train"
"4736","Also, Time reports that the IRS fails to collect $150 billion a year in owed taxes, largely because its ancient computer system is too crude to catch frauds.","train"
"70614","He's making himself a positive role model for kids and displaying the leadership for which the American people are hungering.","train"
"125464","The resistance literature often comments on Hitler's amazing luck, or his uncanny ability to sense danger; but the failures of the resistance might be better ascribed to the calculated unluck of the resisters, their own ability to sense danger and step away from it, and their overall minuscule number.","train"
"105592","A Newsday story on this incident reports that, Toobin said through a Random House spokesman ...","dev"
"105889"," Medical Science v. the Dismal Science","dev"
"82658","Excellent reviews for the collaboration between two of the '90s' most acclaimed jazz saxophonists.","dev"
"81684","Don't fight over small issues.","train"
"39668","4 million homes watch the evening news on CBS, ABC, and NBC.","dev"
"55314","It half-works right up to the point where people start getting gassed, and then Benigni's moist-eyed heroism and tenacious faith in his own irresistibility start to seem like a monstrous ego trip--a clown's megalomania.","train"
"10390","The point is that you are not merely slicing up the same pie--you are increasing the size of the pie.","train"
"75955","And, although I got a Ph.D. in philosophy many years ago and have thought and read about these matters ever since, heaven (or whatever) knows I don't have too many answers that I feel confident about.","dev"
"121756","Possible  Clinton had sex with her, but it wasn't rape.","dev"
"100683","The Easter spirit is  A week after Time 's heaven cover story, Newsweek and U.S.","train"
"134909","The pump also offers superb ease of squeeze.","train"
"46164","I suppose it is aging that has changed my attitude.","train"
"144081","Other pundits beam their opinions at us as through a time warp, from the hazy days of past administrations.","dev"
"102244","What's their bet?","train"
"144507","She and her colleagues could trust him to win peace without appeasement.","train"
"63322","Patients could certainly get annoyed by having to take even a five-minute computer test every time they see a doctor.","train"
"43411","Now economists are pointing out the unfairness of subsidizing the reduction in the number of doctors while refusing to do the same for other professions, such as economists.","train"
"65483","Hanson co-wrote the underrated White Dog (1982) with Sam Fuller, and there's a touch of Fuller in this film's lugubrious trashiness.","train"
"54217","Individuals' claims to their wealth and income must of course be balanced by the need to finance governmental activities, no matter how few and inconsequential they may be.","train"
"94147","The winner of the Hackathlon will be determined by an online vote of Slate 's readers.","train"
"61975","News junked copies of its original edition to put out the Kennedy special.)","train"
"114348","I e-mailed Macmillan with my problem and the company e-mailed back a one-line  Set your BIOS to boot off of the CD.","train"
"124935","The media debated whether Bush's drug history should be probed.","train"
"31130","Slate as easily in Rwanda as in Redmond, so perhaps the rule should be that every Web site must follow the laws of its home country, and no other.","train"
"140726","A weaker version of Chinook had previously lost to the legendary Marion Tinsley, a retired university math teacher considered the greatest checkers player of all time, who had to withdraw from a 1994 rematch because of the pancreatic cancer that eventually killed him.","train"
"107267","And at a time when ad people all seem to be drawing from the same palette of colors and styles, creativity and distinctiveness are, oddly enough, not synonymous.","train"
"142084","The natural paste, meanwhile, lacks all bite, and your mouth feels dirtier after you've brushed.","train"
"115002","Is that such a terrible thing?","train"
"92062","Krugman's column will henceforth be known as The Dismal Science, a phrase too famous to be ownable by anyone, except possibly British essayist Thomas Carlyle (1795-1881), who coined it.","dev"
"19909","They regard the adaptation, which stars Seinfeld shlub Jason Alexander, as a stodgy affair (Elliott Stein, the Village Voice ). And the hypercampy characters feel like relics of an era when gay men were routinely lampooned--more The","train"
"125114","They didn't stop the arms race or radiation experiments using human guinea pigs.","dev"
"141758","Like many NBA old-timers, Bird deplores the MTVification of the league.","train"
"55878","The piece might be weightier if it addressed such issues.","train"
"58772","However, subsequent government supervision of these unions has reduced mob involvement.","train"
"23121","For two earners each making $23,350, Alterman is serendipitously close to the mark when he asserts a marriage penalty of $1,001 a year.","train"
"89068","To see how The Bell Curve tries and fails to get around these inherent problems, see and .","dev"
"138432","The Vatican barred an American priest and nun from ministering to gays.","train"
"47856","The already-outdated cover story wonders if NATO's deal with Yugoslavia will hold.","train"
"38949","By making a tax dispute the putative reason for invading a planet, Lucas merely transposed historical events that Americans ought to be familiar with.","train"
"70636","In the face of this opposition, Republicans played the molester card.","train"
