promptID,premise,splits
65727,Can you suggest a metaphor for rationalizing my past?,train
109661,"The industry now plans to strengthen warnings that children should be kept, appropriately harnessed, in the back seat, where they will be neither helped nor harmed by air bags.",train
40099,Does anyone know what happened to chaos?,dev
99179,"To take only the most extreme  Outright bribes do not, as far as we can tell, play a big role in determining federal policies--and who doubts that they would if they were legal?",train
80705,My publishers will kill me if I don't mention my own biography of D.P.,train
4075,"Hillary could have known in detail, known in general, not wanted to know, or truly had no idea.",train
107501,"' Tim, I strongly believe we need a simultaneous withdrawal of the Serbian aggressive forces, have a stopping of the bombing, and an insertion of international police-keeping force.",train
112687,"Hold nude poetry readings by Germaine Greer, Betty Friedan, and Bill Baird (the abortion-rights advocate, not the famed puppeteer--who, by the way, has currently found work moving Annette Funicello's mouth).",train
41615,"Death of a Salesman , his greatest play, is about the devastating effects of professional failure.",train
7008,"Even if Martin had failed to deny Maxwell a conquest that evening, and thus failed to slow the epidemic, he could at least have made someone happy.",train
91483,"You never know for sure what you're getting, which, unfortunately, is an argument for ponying up.",train
39902,(David Plotz foretold Brown's departure in a recent Slate Assessment.,train
2390,The contributors repeat this figure as though it had talismanic power.,train
101136,"Nonetheless, his book is a valuable contribution to the debate, because it gives those with experience an abstract architectural plan against which to evaluate today's imperfect reality of criminal justice.",train
47285,"It's this kind of pathological attention to detail that makes American industry the envy of the more materialistic parts of the world, and News Quiz such a pleasure to work on.",train
87452,"Rubin himself probably does not care about such back scratching, but it is a lesson that heir-apparent Summers, an eager press hound, has surely absorbed.",train
72127,"In the '70s, the Left-Behind White appeared in the form of the unmeltable ethnic, that long-assimilated Italian- or Irish- or Polish-American who, in the wake of the Black Power movement, felt it necessary to dust off and revive the ways of the Old Country.",train
86152,Those who protested NATO's action in Kosovo because it lacked a U.N. mandate should read Slaughterhouse to see what an earlier mandate  ethnic cleansing superintended by men in blue helmets.,train
54691,"Goodman's explanations of Jewish ritual sometimes veer from the helpful to the condescendingly overexplicit, as if she were writing for young adults.",train
34362,"The year he returned to Congress, 1965, the national endowments for the arts and humanities were voted into existence.",train
43054,"On the witness stand, Tom said that he and John were the only ones in the vehicle.",train
25934,"It may be more important to ask whether it's helped the people it was supposed to help, he began.",train
12181,"Smith's press secretary, Ken Wolfe, boasts that by offering that bill, We have called their bluff.",train
42137,"To track all of this month's four-star movies, check out the TV-Now website Four Star Movies February TV Schedule.",train
17084,"Ever since Seymour Hersh's book came out detailing the raw side of Jack Kennedy and the dark side of Camelot, I've been wondering what JFK did in today's context that warrants an eternal flame at Arlington National Cemetery.",train
19076,"The Encyclopedia of New York states that, after 1935, Luciano and Lansky took over the Harlem racket.",train
186,A sidebar says Monica combed Gennifer Flowers' autobiography for tips on how to seduce the president.,train
