"promptID","premise","splits"
"114394","President Clinton welcomed Yasser Arafat to the White House and criticized Israel for expanding Jewish housing in East Jerusalem.","train"
"108562","Most of the Clinton women were in their 20s at the time of their Clinton encounter","dev"
"104885","McCain : Theodore Roosevelt was my hero and is.","train"
"9873","The crucial part of that world is the home where parents relate to children.","dev"
"88361","The AMA fired the editor to mollify congressional Republicans who control legislation on HMOs and Medicare payments to doctors.","train"
"33180","On a more sober note, Britain's Observer offered an exclusive report  Diana's legacy ignored in Bosnia landmine scandal said that political and bureaucratic blunders have left equipment desperately needed to clear Bosnia's minefields ...","train"
"140262","You were in fact offering it, as you'll see if you go back to the original, not as a considered characterization of my views, but as a way of introducing your own traditional/cultural explanation.","train"
"33109","But as of now, the majority of the congressional party--the Republicans who actually run for office and get elected--embraces a theory of national interests that is very similar to the one in Buchanan's new page-turner.","train"
"71901","Is this reasonable caution or self-important delight in martial law?","train"
"16152","Now, in a heartfelt exclusive interview, in the Enquirer , a lesbian lover of hers has announced that Plato has vanished after stealing $700 from her.","train"
"8188","The former POV might be thought of as Democratic, the latter Republican.","train"
"48624","Another reporter asked, How do you think your supporters are going to respond to all this?","train"
"126143","One reason Long Island epitomizes boredom is because of its ur-suburb, Levittown, tedium expressed as architecture.","train"
"33407","If anyone has a good idea about how to bring back the opinion leaders of yore, I am all for it.","dev"
"92762","At a time when Americans are growing increasingly cynical about public service and increasingly disillusioned about their political leaders, McCain charged Saturday, I was disappointed to see my fellow Republicans' reaction to recent comments and writings by Pat Buchanan concerning our nation's role in defeating Nazi Germany.","train"
"43682","Limbaugh countered that Clinton had, in fact, snarfed at Mickey D's in Hawaii.","train"
"68954","She had come to know Betty Currie very well.","train"
"114971","They won't be killing off George Clooney's character at ER like they did to Jimmy Smits at NYPD . Instead, Dr. Doug Ross is being forced out over the next two episodes because the maverick heartthrob gives an unauthorized painkiller to a terminally ill boy (Thursday, 10 p.m.).","dev"
"15029","At least she has great taste.","train"
"7776","Jacob is just plain wrong.","train"
"40690","And on election night, television networks saw their ratings drop while Internet users flooded election-oriented sites in record numbers.","train"
"101269","Everybody likes a little danger in their lives, but perhaps most black kids are already experiencing all the hazards their psyches can take.","train"
"58937","There's little to argue about in its subjects' personalities--both males and females will find them repulsive--and the picture the film paints of single life in the big city is so bleak that you'll probably want to jump into bed with whoever is sitting next to you.","train"
"102328","His Serb army and police seem to be doing their best to provoke war.","train"
"129025","different computational problems.","train"
"112609","In fact, many experts believe that the key recovery scheme is so vague and tentative as to be irrelevant.","train"
"69160","But, like many of Yeltsin's recent appointments, this one has the quality of being surprising without being brilliant.","train"
"109433","That is not a Medicare or Medicaid cut, he reassured seniors.","train"
"124401","Does the Pentagon believe there are unknown defectors?","train"
"134994","Because you know which teams are successful before you begin your analysis--those that win--you can use mathematics to identify similarities among those winning teams.","dev"
"122304"," 1) Loyalty is dead.","train"
"44282","What's in a Name?","train"
"35515","A joke sets up a chain of logic, and then subverts it in a surprising and delightful way; that's the punch line.","train"
"82623","Which may bring us to the moral of our  When you start paying for nonproduction you are almost sure to reap a bumper crop.","train"
"18101","You lost three of the last four jury trials.","train"
"43553","Some Indians already resent suggestions they are descended from ancient Asians--such contentions fly in the face of their creation myths.","train"
"126461","An important part of U.S. diplomacy is getting sovereign states to work together voluntarily.","dev"
"42774","Even if cross-selling makes sense, though, it's not clear why Citicorp and Travelers had to merge.","train"
"30732","Not great, but a couple of points better than now.","train"
"17833","Anyone can sit, the angry Muslim preacher sneered, belittling the transformative techniques of the protesters for desegregation.","train"
"39678","A 1994 Roper Poll concluded that the NewsHour is perceived by the public as the most credible newscast in the country.","dev"
"107553","She thought about appointing as secretary of education Johnetta Cole, a member of a committee connected to Cuba's intelligence forces and to the World Peace Council.","train"
"23114","And environmentalists have on occasion attacked religion for promoting human domination over the natural world.","dev"
"97888","Bennett is right to the extent that there's no excuse for telling falsehoods in the course of raising otherwise legitimate issues.","train"
"102813","Constitutional Duty 2. This Democratic rejoinder turns the GOP's strict constructionism on its head.","train"
"8698","First they go to the most eager  Skip Humphrey or Richard Blumenthal of Connecticut.","train"
"86259","Microsoft Chief Operating Officer Bob Herbold replied, The answer to that question is no.","train"
"83057","Lewis brought to the campaign the same intensity he had trained upon redneck troopers and sheriffs.","dev"
"1325","The final reason for the teen renaissance is boomer self-obsession.","dev"
"12809","B. A lottery ticket that gives you a 10/11 chance of winning $5 million.","train"
"112453","I'm not sure if this means that PETA ought to spend more on those banner ads, or if it means that they should save their money.","train"
"120732","How to Watch Washington Week in Review : Back to front.","dev"
"22316","(Conventional wisdom  Richard Nixon's funeral wouldn't have amounted to a polypresidential love-in had these tapes come out in early '94.)","train"
"48500","Yet when I sought her out for comment shortly before she concocted her sob story for the Times , Joyce told me she whipped up the Salinger submission to fulfill a contractual obligation to St. Martin's.","train"
"61995","It's supposed to be no later than Jan.","train"
"138680","Now, I like pleats, and I was consoled briefly in the changing room by the thought that this subtlest of fashion statements was all that a Slate guy needed.","train"
"100992","Better health care affects athletic ability directly.","train"
"97455","Most universities and federal agencies must compete aggressively over a much smaller pool.","train"
"15992","Sometimes the products being sold--such as sophisticated medical care--really are too complex for anyone but a specialist to understand fully.","train"
"142260","I'm a Southerner and Manners Are Our Thing","train"
"57152","The Clintonites had a worthier foe in mind.","train"
"54589","Gigot would have us believe the  If Starr rises, Clinton falls; but if Starr falls, Clinton doesn't rise.","train"
"122597","Clinton's critics invoke the specter of Vietnam by warning against an unwise commitment to war in Kosovo.","train"
"145974","But the New Republic","train"
"51201","Editors'  The Internal Revenue Code does not encourage lobbying by 501(c)(3) organizations, but it does allow it under limited circumstances.","train"
"87075","Directors alter his scripts at their peril.","train"
"72959","They want laws that require of teens that they behave like obedient children.","train"
"25318","Moyers' kind of journalism seems designed to place this thought in the viewer's  No right-thinking person could ever disagree with all these nice, smart guests.","train"
"31809","U.S. law does not require the president to request congressional support before supporting a WTO bid.","train"
"67924","But something else is bothering Reese.","train"
"114307","How square.","train"
"57823","Of course, more banal commercial considerations are also at work, as well as the Law of Award Entropy, which holds that awards tend to subdivide and multiply until they are worthless.","train"
"98959","The self-deprecating, nonpolitical portrayal earns him advance exposure with what would be a hard-to-reach constituency if he ran for president in 2000.","train"
"14269","Above all, it seems implausible that the proposed solution to such severe difficulties could involve so little pain.","train"
"118064","Wacky Tangent of the  Washington Week in Review host Ken Bode scolded the New York Times Magazine for a Nov. 9 fashion spread he said endorsed the now-discredited fashion trend of heroin chic.","dev"
"133623","I am fortunate enough to have two mothers-in- one who gave birth to my wonderful husband and one who is married to his father.","train"
