"promptID","premise","splits","heuristic_value","heuristic_friendlyname","heuristic_example_text","heuristic_payment_text","heuristic_checkbox_text","entailment_payment","neutral_payment","contradiction_payment","FAQ_direct_link"
"43071","Early diagnosis, new teaching techniques (emphasis on the arts, thematic programs), and new research into the brains of LD kids are starting to rectify a neglected problem.","train","reverse_argument_order","reverse the order of 2 nouns in the text","Noun phrases are words or expressions that refer to people, places, things, or ideas, and can serve as subjects or objects of sentences (e.g., ""the frying pan"", ""a speech"", ""three orange cats""). A common way of reversing the order of nouns is making an active sentence (""Lucy climbed the tree"") passive (""The tree was climbed by Lucy"") or vice versa, but this is not the only way.","Adding this restriction to the maybe correct or definitely incorrect statements will add a bonus of $0.05. Because it's often more challenging to add this restriction to a definitely correct statement, doing so is worth a bonus of $0.10.","reverses the order of two nouns from the text","$0.10 ","$0.05 ","$0.05 ","https://docs.google.com/document/d/1uUr1ldO7oWAfbi255fKikS2C1ga6Px7IGlEdeI_Tr3c/edit#bookmark=kix.sakecv5x5sc9"
"142089","But it must have a real bite so your mouth feels clean.","dev","reverse_argument_order","reverse the order of 2 nouns in the text","Noun phrases are words or expressions that refer to people, places, things, or ideas, and can serve as subjects or objects of sentences (e.g., ""the frying pan"", ""a speech"", ""three orange cats""). A common way of reversing the order of nouns is making an active sentence (""Lucy climbed the tree"") passive (""The tree was climbed by Lucy"") or vice versa, but this is not the only way.","Adding this restriction to the maybe correct or definitely incorrect statements will add a bonus of $0.05. Because it's often more challenging to add this restriction to a definitely correct statement, doing so is worth a bonus of $0.10.","reverses the order of two nouns from the text","$0.10 ","$0.05 ","$0.05 ","https://docs.google.com/document/d/1uUr1ldO7oWAfbi255fKikS2C1ga6Px7IGlEdeI_Tr3c/edit#bookmark=kix.sakecv5x5sc9"
"4974","Slate's Ann Hulbert says Hochschild overstates her  The truth is that home hasn't suddenly become work.","train","reverse_argument_order","reverse the order of 2 nouns in the text","Noun phrases are words or expressions that refer to people, places, things, or ideas, and can serve as subjects or objects of sentences (e.g., ""the frying pan"", ""a speech"", ""three orange cats""). A common way of reversing the order of nouns is making an active sentence (""Lucy climbed the tree"") passive (""The tree was climbed by Lucy"") or vice versa, but this is not the only way.","Adding this restriction to the maybe correct or definitely incorrect statements will add a bonus of $0.05. Because it's often more challenging to add this restriction to a definitely correct statement, doing so is worth a bonus of $0.10.","reverses the order of two nouns from the text","$0.10 ","$0.05 ","$0.05 ","https://docs.google.com/document/d/1uUr1ldO7oWAfbi255fKikS2C1ga6Px7IGlEdeI_Tr3c/edit#bookmark=kix.sakecv5x5sc9"
"14650","Guess  The argument may be as dumb as it sounds.","dev","reverse_argument_order","reverse the order of 2 nouns in the text","Noun phrases are words or expressions that refer to people, places, things, or ideas, and can serve as subjects or objects of sentences (e.g., ""the frying pan"", ""a speech"", ""three orange cats""). A common way of reversing the order of nouns is making an active sentence (""Lucy climbed the tree"") passive (""The tree was climbed by Lucy"") or vice versa, but this is not the only way.","Adding this restriction to the maybe correct or definitely incorrect statements will add a bonus of $0.05. Because it's often more challenging to add this restriction to a definitely correct statement, doing so is worth a bonus of $0.10.","reverses the order of two nouns from the text","$0.10 ","$0.05 ","$0.05 ","https://docs.google.com/document/d/1uUr1ldO7oWAfbi255fKikS2C1ga6Px7IGlEdeI_Tr3c/edit#bookmark=kix.sakecv5x5sc9"
"58276","In theory, mandatory insurance could make life better for everyone , including those who currently prefer to be uninsured.","train","reverse_argument_order","reverse the order of 2 nouns in the text","Noun phrases are words or expressions that refer to people, places, things, or ideas, and can serve as subjects or objects of sentences (e.g., ""the frying pan"", ""a speech"", ""three orange cats""). A common way of reversing the order of nouns is making an active sentence (""Lucy climbed the tree"") passive (""The tree was climbed by Lucy"") or vice versa, but this is not the only way.","Adding this restriction to the maybe correct or definitely incorrect statements will add a bonus of $0.05. Because it's often more challenging to add this restriction to a definitely correct statement, doing so is worth a bonus of $0.10.","reverses the order of two nouns from the text","$0.10 ","$0.05 ","$0.05 ","https://docs.google.com/document/d/1uUr1ldO7oWAfbi255fKikS2C1ga6Px7IGlEdeI_Tr3c/edit#bookmark=kix.sakecv5x5sc9"
"24656","Under Deng Xiaoping, Beijing actively sought to cultivate a good bilateral relationship.","dev","reverse_argument_order","reverse the order of 2 nouns in the text","Noun phrases are words or expressions that refer to people, places, things, or ideas, and can serve as subjects or objects of sentences (e.g., ""the frying pan"", ""a speech"", ""three orange cats""). A common way of reversing the order of nouns is making an active sentence (""Lucy climbed the tree"") passive (""The tree was climbed by Lucy"") or vice versa, but this is not the only way.","Adding this restriction to the maybe correct or definitely incorrect statements will add a bonus of $0.05. Because it's often more challenging to add this restriction to a definitely correct statement, doing so is worth a bonus of $0.10.","reverses the order of two nouns from the text","$0.10 ","$0.05 ","$0.05 ","https://docs.google.com/document/d/1uUr1ldO7oWAfbi255fKikS2C1ga6Px7IGlEdeI_Tr3c/edit#bookmark=kix.sakecv5x5sc9"
"81473","All past articles, features, and columns remain available in The Compost.","train","reverse_argument_order","reverse the order of 2 nouns in the text","Noun phrases are words or expressions that refer to people, places, things, or ideas, and can serve as subjects or objects of sentences (e.g., ""the frying pan"", ""a speech"", ""three orange cats""). A common way of reversing the order of nouns is making an active sentence (""Lucy climbed the tree"") passive (""The tree was climbed by Lucy"") or vice versa, but this is not the only way.","Adding this restriction to the maybe correct or definitely incorrect statements will add a bonus of $0.05. Because it's often more challenging to add this restriction to a definitely correct statement, doing so is worth a bonus of $0.10.","reverses the order of two nouns from the text","$0.10 ","$0.05 ","$0.05 ","https://docs.google.com/document/d/1uUr1ldO7oWAfbi255fKikS2C1ga6Px7IGlEdeI_Tr3c/edit#bookmark=kix.sakecv5x5sc9"
"11971","In a six-year study, scientists fed dogs and other animals irradiated chicken and found no evidence of increased cancer or other toxic effects.","dev","reverse_argument_order","reverse the order of 2 nouns in the text","Noun phrases are words or expressions that refer to people, places, things, or ideas, and can serve as subjects or objects of sentences (e.g., ""the frying pan"", ""a speech"", ""three orange cats""). A common way of reversing the order of nouns is making an active sentence (""Lucy climbed the tree"") passive (""The tree was climbed by Lucy"") or vice versa, but this is not the only way.","Adding this restriction to the maybe correct or definitely incorrect statements will add a bonus of $0.05. Because it's often more challenging to add this restriction to a definitely correct statement, doing so is worth a bonus of $0.10.","reverses the order of two nouns from the text","$0.10 ","$0.05 ","$0.05 ","https://docs.google.com/document/d/1uUr1ldO7oWAfbi255fKikS2C1ga6Px7IGlEdeI_Tr3c/edit#bookmark=kix.sakecv5x5sc9"
"135511","But bizarrely, 1.7 million of those votes were for Kemal Ataterk.","train","reverse_argument_order","reverse the order of 2 nouns in the text","Noun phrases are words or expressions that refer to people, places, things, or ideas, and can serve as subjects or objects of sentences (e.g., ""the frying pan"", ""a speech"", ""three orange cats""). A common way of reversing the order of nouns is making an active sentence (""Lucy climbed the tree"") passive (""The tree was climbed by Lucy"") or vice versa, but this is not the only way.","Adding this restriction to the maybe correct or definitely incorrect statements will add a bonus of $0.05. Because it's often more challenging to add this restriction to a definitely correct statement, doing so is worth a bonus of $0.10.","reverses the order of two nouns from the text","$0.10 ","$0.05 ","$0.05 ","https://docs.google.com/document/d/1uUr1ldO7oWAfbi255fKikS2C1ga6Px7IGlEdeI_Tr3c/edit#bookmark=kix.sakecv5x5sc9"
"20452","As long as there are still U.S. workers paying payroll taxes (and if there aren't, we'll have many far bigger problems), these can cover at least partial benefits.","train","reverse_argument_order","reverse the order of 2 nouns in the text","Noun phrases are words or expressions that refer to people, places, things, or ideas, and can serve as subjects or objects of sentences (e.g., ""the frying pan"", ""a speech"", ""three orange cats""). A common way of reversing the order of nouns is making an active sentence (""Lucy climbed the tree"") passive (""The tree was climbed by Lucy"") or vice versa, but this is not the only way.","Adding this restriction to the maybe correct or definitely incorrect statements will add a bonus of $0.05. Because it's often more challenging to add this restriction to a definitely correct statement, doing so is worth a bonus of $0.10.","reverses the order of two nouns from the text","$0.10 ","$0.05 ","$0.05 ","https://docs.google.com/document/d/1uUr1ldO7oWAfbi255fKikS2C1ga6Px7IGlEdeI_Tr3c/edit#bookmark=kix.sakecv5x5sc9"
"119823","As a card-carrying new medium ourselves, we sure as heck do.","train","reverse_argument_order","reverse the order of 2 nouns in the text","Noun phrases are words or expressions that refer to people, places, things, or ideas, and can serve as subjects or objects of sentences (e.g., ""the frying pan"", ""a speech"", ""three orange cats""). A common way of reversing the order of nouns is making an active sentence (""Lucy climbed the tree"") passive (""The tree was climbed by Lucy"") or vice versa, but this is not the only way.","Adding this restriction to the maybe correct or definitely incorrect statements will add a bonus of $0.05. Because it's often more challenging to add this restriction to a definitely correct statement, doing so is worth a bonus of $0.10.","reverses the order of two nouns from the text","$0.10 ","$0.05 ","$0.05 ","https://docs.google.com/document/d/1uUr1ldO7oWAfbi255fKikS2C1ga6Px7IGlEdeI_Tr3c/edit#bookmark=kix.sakecv5x5sc9"
"9093","They were pitiful even by microbial standards.","train","reverse_argument_order","reverse the order of 2 nouns in the text","Noun phrases are words or expressions that refer to people, places, things, or ideas, and can serve as subjects or objects of sentences (e.g., ""the frying pan"", ""a speech"", ""three orange cats""). A common way of reversing the order of nouns is making an active sentence (""Lucy climbed the tree"") passive (""The tree was climbed by Lucy"") or vice versa, but this is not the only way.","Adding this restriction to the maybe correct or definitely incorrect statements will add a bonus of $0.05. Because it's often more challenging to add this restriction to a definitely correct statement, doing so is worth a bonus of $0.10.","reverses the order of two nouns from the text","$0.10 ","$0.05 ","$0.05 ","https://docs.google.com/document/d/1uUr1ldO7oWAfbi255fKikS2C1ga6Px7IGlEdeI_Tr3c/edit#bookmark=kix.sakecv5x5sc9"
