"promptID","premise","splits","heuristic_value","heuristic_friendlyname","heuristic_example_text","heuristic_payment_text","heuristic_checkbox_text","entailment_payment","neutral_payment","contradiction_payment","FAQ_direct_link"
"55461","In fact, although all other nominees are welcome, Slate 's software-development team--through a simple iterative program--has already cast 1.8 million votes for Bill Gates.","train","tbd","tbd","tbd","tbd","tbd","tbd","tbd","tbd","none"
"97623","They see politics as exclusively combative contests, involving haggling, maneuvering, bargaining and manipulating.","train","tbd","tbd","tbd","tbd","tbd","tbd","tbd","tbd","none"
"7966","The only really arresting work he did after 1950 is . With its electric brightness, this huge painting, which Pollock's friends started for him, is stunning but sad, a big smile for the camera and perhaps a kind of requiem for his earlier work.","train","tbd","tbd","tbd","tbd","tbd","tbd","tbd","tbd","none"
"56940","But after the election, says Blankley, there is a 99.","train","tbd","tbd","tbd","tbd","tbd","tbd","tbd","tbd","none"
"42907","But when the industry attempted to create , the same activists protested again, declaring the safer cigarette evil because it would encourage smokers to continue their habit.","train","tbd","tbd","tbd","tbd","tbd","tbd","tbd","tbd","none"
"90705","Even if they use the meat.","train","tbd","tbd","tbd","tbd","tbd","tbd","tbd","tbd","none"
"26744","Unfortunately, following the vogue of conceptualism, Kentridge has entered a film in the show, , which uses animation of sketches much cruder than the ones he usually does interspersed with documentary footage from the apartheid era.","dev","tbd","tbd","tbd","tbd","tbd","tbd","tbd","tbd","none"
"56043","The cover story says that megabillionaire and stock-picking legend Warren Buffett has quietly shifted his focus from buying individual stocks to purchasing companies.","train","tbd","tbd","tbd","tbd","tbd","tbd","tbd","tbd","none"
"72712","It draws sidelong glances and playground taunts, and it may give the adopted child an identity crisis.","train","tbd","tbd","tbd","tbd","tbd","tbd","tbd","tbd","none"
"127473","The biography exposes the pioneer sexologist as a gay masochist who organized and filmed orgies.","train","tbd","tbd","tbd","tbd","tbd","tbd","tbd","tbd","none"
"39306","You love it up here, don't you?","train","tbd","tbd","tbd","tbd","tbd","tbd","tbd","tbd","none"
"71875","How do Mary Matalin and James Carville do it?","train","tbd","tbd","tbd","tbd","tbd","tbd","tbd","tbd","none"
